,user_id,item_id,type_1,type_2,type_3,type_4_x,type_4_y,labels
0,1094209,129104156,2,0,0,0,0.0,0.0
1,1094209,370012497,2,0,0,0,0.0,0.0
2,10001082,275221686,2,0,0,0,0.0,0.0
3,10051209,13781596,2,0,0,0,0.0,0.0
4,10051209,18052835,2,0,0,0,0.0,0.0
5,10051209,67644968,2,0,0,0,0.0,0.0
6,10051209,73132337,9,1,0,1,0.0,0.0
7,10051209,127969156,1,0,0,0,0.0,0.0
8,10051209,161624526,2,0,0,0,0.0,0.0
9,10051209,171301443,1,0,0,0,0.0,0.0
10,10051209,201039456,2,0,0,0,0.0,0.0
11,10051209,201951283,2,0,0,0,0.0,0.0
12,10051209,226779418,2,0,0,0,0.0,0.0
13,10051209,233242409,2,0,0,0,0.0,0.0
14,10051209,254872116,2,1,0,0,0.0,0.0
15,10051209,285455929,2,0,0,0,0.0,0.0
16,10051209,290490502,2,0,0,0,0.0,0.0
17,10051209,360245584,2,0,0,0,0.0,0.0
18,10051209,362060698,1,0,0,0,0.0,0.0
19,10051209,378347560,2,0,0,0,0.0,0.0
20,10051209,379182379,2,0,0,0,0.0,0.0
21,10051209,403061207,2,0,0,0,0.0,0.0
22,10095384,7017629,6,0,0,0,0.0,0.0
23,10095384,238861461,2,0,0,0,0.0,0.0
24,10095384,294892463,2,0,0,0,0.0,0.0
25,10095384,371721722,5,0,0,0,0.0,0.0
26,10095384,378609084,3,0,0,0,0.0,0.0
27,10142625,117788778,2,0,0,0,0.0,0.0
28,10142625,339095756,3,0,0,0,0.0,0.0
29,10238478,71480742,1,0,0,0,0.0,0.0
30,10238478,82277399,2,0,0,0,0.0,0.0
31,10238478,103567750,2,0,0,0,0.0,0.0
32,10238478,106149789,2,0,0,0,0.0,0.0
33,10238478,116609901,2,0,0,0,0.0,0.0
34,10238478,137567988,1,0,0,0,0.0,0.0
35,10238478,164367774,2,0,0,0,0.0,0.0
36,10238478,168806424,2,0,0,0,0.0,0.0
37,10238478,178710875,3,0,0,0,0.0,0.0
38,10238478,189399650,2,0,0,0,0.0,0.0
39,10238478,215245082,4,0,0,0,0.0,0.0
40,10238478,229066583,2,0,0,0,0.0,0.0
41,10238478,240783784,2,0,0,0,0.0,0.0
42,10238478,278821125,4,0,0,0,0.0,0.0
43,10238478,279051940,2,0,0,0,0.0,0.0
44,10238478,291556727,2,0,0,0,0.0,0.0
45,10238478,303978618,2,0,0,0,0.0,0.0
46,10238478,326946801,2,0,0,0,0.0,0.0
47,10238478,333849847,3,0,0,0,1.0,1.0
