,time_day,user_id,item_id,type_1,type_2,type_3,type_4
0,2014-11-18,10051209,203860137,1,0,0,0
1,2014-11-18,10088568,1387196,2,0,0,0
2,2014-11-18,10088568,35451823,3,0,1,0
3,2014-11-18,10088568,133308705,2,0,1,0
4,2014-11-18,10088568,142732232,2,0,0,0
5,2014-11-18,10088568,192933415,2,0,0,0
6,2014-11-18,10088568,230499502,2,0,0,0
7,2014-11-18,10088568,255530135,2,0,1,0
8,2014-11-18,10088568,265289293,2,0,0,0
9,2014-11-18,10088568,266706122,2,0,0,0
10,2014-11-18,10088568,272169597,3,0,1,0
11,2014-11-18,10088568,273476400,3,0,1,0
12,2014-11-18,10088568,293055350,2,1,0,0
13,2014-11-18,10095384,3938058,2,0,0,0
14,2014-11-18,10095384,12320111,2,0,0,0
15,2014-11-18,10095384,18612353,1,0,0,0
16,2014-11-18,10095384,24323952,2,0,0,0
17,2014-11-18,10095384,27153857,1,1,0,0
18,2014-11-18,10095384,34400661,2,0,0,0
19,2014-11-18,10095384,67333564,1,0,0,0
20,2014-11-18,10095384,67948370,2,0,0,0
21,2014-11-18,10095384,80939312,2,0,0,0
22,2014-11-18,10095384,88619236,2,0,0,0
23,2014-11-18,10095384,98128081,2,0,0,0
24,2014-11-18,10095384,111764478,2,0,0,0
25,2014-11-18,10095384,112219011,2,1,0,0
26,2014-11-18,10095384,119451172,2,1,0,0
27,2014-11-18,10095384,134791419,2,0,0,0
28,2014-11-18,10095384,144219211,2,0,0,0
29,2014-11-18,10095384,146508966,2,0,0,0
30,2014-11-18,10095384,156705073,2,0,0,0
31,2014-11-18,10095384,163237571,3,0,0,0
32,2014-11-18,10095384,173236866,1,0,0,0
33,2014-11-18,10095384,183344603,4,0,0,0
34,2014-11-18,10095384,222180195,1,0,0,0
35,2014-11-18,10095384,227728479,2,0,0,0
36,2014-11-18,10095384,230396480,4,1,0,0
37,2014-11-18,10095384,246581667,2,0,0,0
38,2014-11-18,10095384,262915517,3,0,0,0
39,2014-11-18,10095384,267150531,2,0,0,0
40,2014-11-18,10095384,271247771,2,1,0,0
41,2014-11-18,10095384,297966673,2,0,0,0
42,2014-11-18,10095384,306094701,2,0,0,0
43,2014-11-18,10095384,313932358,2,0,0,0
